isDeleted,make,model,price,release_date,size,style,transmission_type
FALSE,Hyundai,Santa Fei,25000,2019,Midsize,new,AUTOMATED_MANUAL
FALSE,Hyundai,Santa Fei,1500000,2019,Midsize,new,AUTOMATED_MANUAL
FALSE,FIAT,124 Spider,27495,2017,Compact,Convertible,MANUAL
FALSE,FIAT,124 Spider,24995,2017,Compact,Convertible,MANUAL
FALSE,FIAT,124 Spider,28195,2017,Compact,Convertible,MANUAL
FALSE,BMW,2 Series,46450,2017,Compact,Coupe,AUTOMATIC
FALSE,BMW,2 Series,49050,2017,Compact,Convertible,AUTOMATIC
FALSE,BMW,2 Series,51050,2017,Compact,Convertible,AUTOMATIC
FALSE,BMW,2 Series,44450,2017,Compact,Coupe,AUTOMATIC
FALSE,BMW,2 Series,38950,2017,Compact,Convertible,AUTOMATIC
FALSE,BMW,2 Series,33150,2017,Compact,Coupe,AUTOMATIC
FALSE,BMW,2 Series,35150,2017,Compact,Coupe,AUTOMATIC
FALSE,BMW,2 Series,40950,2017,Compact,Convertible,AUTOMATIC
FALSE,Chrysler,200,29905,2017,Midsize,Sedan,AUTOMATIC
FALSE,Chrysler,200,31785,2017,Midsize,Sedan,AUTOMATIC
FALSE,Chrysler,200,26685,2017,Midsize,Sedan,AUTOMATIC
FALSE,Chrysler,200,22490,2017,Midsize,Sedan,AUTOMATIC
FALSE,Chrysler,200,25690,2017,Midsize,Sedan,AUTOMATIC
FALSE,Chrysler,200,30900,2017,Midsize,Sedan,AUTOMATIC
FALSE,Chrysler,200,27795,2017,Midsize,Sedan,AUTOMATIC
FALSE,Chrysler,200,21995,2017,Midsize,Sedan,AUTOMATIC
FALSE,Chrysler,200,24490,2017,Midsize,Sedan,AUTOMATIC
FALSE,BMW,3 Series Gran Turismo,49650,2017,Midsize,4dr Hatchback,AUTOMATIC
FALSE,BMW,3 Series Gran Turismo,43950,2017,Midsize,4dr Hatchback,AUTOMATIC
FALSE,BMW,3 Series,49900,2017,Midsize,Sedan,AUTOMATIC
FALSE,BMW,3 Series,47900,2017,Midsize,Sedan,AUTOMATIC
FALSE,BMW,3 Series,44450,2017,Midsize,Wagon,AUTOMATIC
FALSE,Chrysler,300,36170,2017,Large,Sedan,AUTOMATIC
FALSE,Chrysler,300,38175,2017,Large,Sedan,AUTOMATIC
FALSE,Chrysler,300,32340,2017,Large,Sedan,AUTOMATIC
FALSE,Chrysler,300,42770,2017,Large,Sedan,AUTOMATIC
FALSE,Chrysler,300,34840,2017,Large,Sedan,AUTOMATIC
FALSE,Chrysler,300,35675,2017,Large,Sedan,AUTOMATIC
FALSE,Nissan,370Z,46790,2017,Compact,Coupe,AUTOMATIC
FALSE,Nissan,370Z,43290,2017,Compact,Coupe,AUTOMATIC
FALSE,Nissan,370Z,31290,2017,Compact,Coupe,AUTOMATIC
FALSE,Mazda,3,21495,2017,Midsize,Sedan,AUTOMATIC
FALSE,Mazda,3,17845,2017,Midsize,Sedan,MANUAL
FALSE,Mazda,3,23145,2017,Midsize,Sedan,MANUAL
FALSE,Mazda,3,24195,2017,Midsize,Sedan,AUTOMATIC
FALSE,Mazda,3,20145,2017,Compact,4dr Hatchback,AUTOMATIC
FALSE,Mazda,3,24945,2017,Compact,4dr Hatchback,AUTOMATIC
FALSE,Mazda,3,23895,2017,Compact,4dr Hatchback,MANUAL
FALSE,Mazda,3,19095,2017,Compact,4dr Hatchback,MANUAL
FALSE,Mazda,3,23445,2017,Compact,4dr Hatchback,AUTOMATIC
FALSE,Mazda,3,18895,2017,Midsize,Sedan,AUTOMATIC
FALSE,Mazda,3,22245,2017,Compact,4dr Hatchback,AUTOMATIC
FALSE,Mazda,3,22395,2017,Compact,4dr Hatchback,MANUAL
FALSE,Mazda,3,20445,2017,Midsize,Sedan,MANUAL
FALSE,BMW,4 Series Gran Coupe,48300,2017,Midsize,Sedan,AUTOMATIC
FALSE,BMW,4 Series Gran Coupe,50300,2017,Midsize,Sedan,AUTOMATIC
FALSE,BMW,4 Series Gran Coupe,43950,2017,Midsize,Sedan,AUTOMATIC
FALSE,BMW,4 Series Gran Coupe,41950,2017,Midsize,Sedan,AUTOMATIC
FALSE,BMW,4 Series,42150,2017,Midsize,Coupe,AUTOMATIC
FALSE,BMW,4 Series,59300,2017,Midsize,Convertible,AUTOMATIC
FALSE,BMW,4 Series,57300,2017,Midsize,Convertible,AUTOMATIC
FALSE,BMW,4 Series,48500,2017,Midsize,Coupe,AUTOMATIC
FALSE,BMW,5 Series Gran Turismo,63200,2017,Large,4dr Hatchback,AUTOMATIC
FALSE,BMW,5 Series Gran Turismo,60900,2017,Large,4dr Hatchback,AUTOMATIC
FALSE,BMW,5 Series Gran Turismo,72500,2017,Large,4dr Hatchback,AUTOMATIC
FALSE,FIAT,500e,31800,2017,Compact,2dr Hatchback,DIRECT_DRIVE
FALSE,FIAT,500X,27035,2017,Compact,4dr SUV,AUTOMATIC
FALSE,FIAT,500X,25135,2017,Compact,4dr SUV,AUTOMATIC
FALSE,FIAT,500X,25235,2017,Compact,4dr SUV,AUTOMATIC
FALSE,FIAT,500X,23890,2017,Compact,4dr SUV,AUTOMATIC
FALSE,FIAT,500X,23335,2017,Compact,4dr SUV,AUTOMATIC
FALSE,FIAT,500X,19995,2017,Compact,4dr SUV,MANUAL
FALSE,BMW,6 Series Gran Coupe,91200,2017,Large,Sedan,AUTOMATIC
FALSE,BMW,6 Series Gran Coupe,82800,2017,Large,Sedan,AUTOMATIC
FALSE,BMW,6 Series Gran Coupe,94200,2017,Large,Sedan,AUTOMATIC
FALSE,BMW,6 Series Gran Coupe,79800,2017,Large,Sedan,AUTOMATIC
FALSE,BMW,6 Series,92000,2017,Midsize,Coupe,AUTOMATIC
FALSE,BMW,6 Series,77600,2017,Midsize,Coupe,AUTOMATIC
FALSE,BMW,6 Series,89000,2017,Midsize,Coupe,AUTOMATIC
FALSE,BMW,6 Series,80600,2017,Midsize,Coupe,AUTOMATIC
FALSE,BMW,6 Series,85100,2017,Midsize,Convertible,AUTOMATIC
FALSE,BMW,6 Series,88100,2017,Midsize,Convertible,AUTOMATIC
FALSE,BMW,6 Series,96500,2017,Midsize,Convertible,AUTOMATIC
FALSE,BMW,6 Series,99500,2017,Midsize,Convertible,AUTOMATIC
FALSE,Mazda,6,30695,2017,Midsize,Sedan,AUTOMATIC
FALSE,Mazda,6,21945,2017,Midsize,Sedan,MANUAL
FALSE,Mazda,6,24195,2017,Midsize,Sedan,MANUAL
FALSE,Mazda,6,22995,2017,Midsize,Sedan,AUTOMATIC
FALSE,Mazda,6,25245,2017,Midsize,Sedan,AUTOMATIC
FALSE,BMW,7 Series,94600,2017,Large,Sedan,AUTOMATIC
FALSE,BMW,7 Series,97600,2017,Large,Sedan,AUTOMATIC
